split,filename,image_path,image_id,ann_id,layer,group,wb1,wb2,wb_product,wb_sum,area_px,log_area_px,bbox_w,bbox_h,bbox_aspect,roi_bg_pixels,ndg,delta_g,abs_delta_g,g_flake_median,g_bg_plane_median,g_delta_p10,g_delta_p90,g_delta_iqr,iqr_ndg,g_bg_std,g_flake_std,plane_a,plane_b,plane_c
train,1-4-3-3_png.rf.478b2c1ef7579e46a4978b6bb8a3c1da.jpg,/mnt/tf_data/TechFin/home/group_6/Data/white_balance_copy_layers.v9-10x.coco-segmentation/train/1-4-3-3_png.rf.478b2c1ef7579e46a4978b6bb8a3c1da.jpg,17,22,2,png,1.4,3.3,4.619999999999999,4.699999999999999,967,6.875232087276577,35.0,64.0,0.546875,19079,-0.0828935780535357,-12.220139503479004,12.220139503479004,135.0,147.41961669921875,-16.45826416015625,-5.534088134765625,10.924176025390626,0.07410259414579334,1.5432472229003906,3.99593448638916,0.000954208429902792,0.004041930660605431,142.718994140625
train,1-4-4-5_png.rf.5eabbf8766b64aae472dec2241b4ddd2.jpg,/mnt/tf_data/TechFin/home/group_6/Data/white_balance_copy_layers.v9-10x.coco-segmentation/train/1-4-4-5_png.rf.5eabbf8766b64aae472dec2241b4ddd2.jpg,18,23,1,png,1.4,4.5,6.3,5.9,3165,8.060224240440958,171.0,59.0,2.8983050847457625,87391,-0.08769461382827091,-10.581244468688965,10.581244468688965,112.0,120.66014099121094,-19.637431335449218,-3.6624298095703125,15.975001525878906,0.13239667544431719,11.021583557128906,5.849950313568115,0.0017136542592197657,-0.00973487738519907,128.81549072265625
train,1-4-4-2_png.rf.721481f17552402d880ef5900c63faf4.jpg,/mnt/tf_data/TechFin/home/group_6/Data/white_balance_copy_layers.v9-10x.coco-segmentation/train/1-4-4-2_png.rf.721481f17552402d880ef5900c63faf4.jpg,19,24,1,png,1.4,4.2,5.88,5.6,1552,7.347943823148687,32.0,77.0,0.4155844155844156,20475,-0.040633354357351485,-5.157454967498779,5.157454967498779,121.0,126.9266357421875,-7.14618148803711,-1.588802337646484,5.557379150390625,0.04378418381527684,8.722004890441895,2.3145132064819336,0.013451972976326942,0.00792095996439457,101.64200592041016
train,1-1-4-8-6-10-6_png.rf.67090c6fd7aab44778a6c4f60aa4cf76.jpg,/mnt/tf_data/TechFin/home/group_6/Data/white_balance_copy_layers.v9-10x.coco-segmentation/train/1-1-4-8-6-10-6_png.rf.67090c6fd7aab44778a6c4f60aa4cf76.jpg,21,26,6,6-10-6_png,1.1,4.8,5.28,5.9,1823,7.508787170634276,39.0,126.0,0.30952380952380953,42110,-0.2751690535757892,-31.207414627075195,31.207414627075195,81.0,113.41178894042969,-34.84384307861328,-21.562998962402354,13.280844116210929,0.11710285359475973,11.860830307006836,6.440650939941406,0.002388412831351161,-0.008050872012972832,116.0301284790039
train,1-7-4-2-2-10-3_png.rf.61678f0602084ce8ab8564eff4254ea3.jpg,/mnt/tf_data/TechFin/home/group_6/Data/white_balance_copy_layers.v9-10x.coco-segmentation/train/1-7-4-2-2-10-3_png.rf.61678f0602084ce8ab8564eff4254ea3.jpg,22,27,2,2-10-3_png,1.7,4.2,7.14,5.9,5573,8.625868208041894,111.0,86.0,1.2906976744186047,80111,-0.10737748699749035,-7.502654552459717,7.502654552459717,62.0,69.87176513671875,-7.967047119140625,-5.975837707519531,1.991209411621094,0.028498055083120852,11.02681827545166,1.397552728652954,-0.0008169503998942673,-0.0034411621745675802,72.19798278808594
train,1-4-4-2-3-10-4_png.rf.06a95ae0cbf1268d1fbae002c8285626.jpg,/mnt/tf_data/TechFin/home/group_6/Data/white_balance_copy_layers.v9-10x.coco-segmentation/train/1-4-4-2-3-10-4_png.rf.06a95ae0cbf1268d1fbae002c8285626.jpg,24,29,3,3-10-4_png,1.4,4.2,5.88,5.6,629,6.4457198193855785,22.0,53.0,0.41509433962264153,9775,-0.13886857572295516,-12.194704055786133,12.194704055786133,75.0,87.81471252441406,-16.781552124023438,-5.866386413574219,10.91516571044922,0.12429768767294669,1.2108943462371826,4.269543170928955,0.005589793436229229,-0.0035193099174648523,85.79069519042969
train,1-1-3-9_png.rf.623480332ed46b80747e30151fbcc404.jpg,/mnt/tf_data/TechFin/home/group_6/Data/white_balance_copy_layers.v9-10x.coco-segmentation/train/1-1-3-9_png.rf.623480332ed46b80747e30151fbcc404.jpg,26,31,1,png,1.1,3.9,4.29,5.0,3002,8.00736706798333,170.0,59.0,2.8813559322033897,87024,-0.0628536974584003,-9.252684593200684,9.252684593200684,138.0,147.20986938476562,-15.007173156738281,-3.9893478393554678,11.017825317382814,0.07484433865358092,10.620208740234375,4.194183826446533,0.0006066789501346648,-0.01345039252191782,160.90469360351562
train,1-1-4-8_png.rf.dacb87c5415ad4b2b5c3daabf1fc8f59.jpg,/mnt/tf_data/TechFin/home/group_6/Data/white_balance_copy_layers.v9-10x.coco-segmentation/train/1-1-4-8_png.rf.dacb87c5415ad4b2b5c3daabf1fc8f59.jpg,27,32,1,png,1.1,4.8,5.28,5.9,2997,8.005700678662542,170.0,58.0,2.9310344827586206,85500,-0.08732302762833302,-10.392047882080078,10.392047882080078,109.0,119.0069580078125,-16.173756408691407,-4.878480529785156,11.295275878906251,0.09491273508700848,12.242432594299316,4.437887668609619,-0.000544570037163794,-0.017187511548399925,138.33786010742188
train,2-0-3-6_png.rf.69c3cd6840e7554ea1dbdcb76c0dd43a.jpg,/mnt/tf_data/TechFin/home/group_6/Data/white_balance_copy_layers.v9-10x.coco-segmentation/train/2-0-3-6_png.rf.69c3cd6840e7554ea1dbdcb76c0dd43a.jpg,29,34,7,png,2.0,3.6,7.2,5.6,619,6.429719478039138,23.0,55.0,0.41818181818181815,10673,-0.2661647165783381,-25.337692260742188,25.337692260742188,65.0,95.1955337524414,-43.18195343017578,3.729771423339848,46.91172485351563,0.49279333813612364,22.895986557006836,17.836658477783203,0.05726005509495735,0.10464078933000565,-82.8929672241211
train,0-8-4-2-3-10_png.rf.49e84ea1ec5d1d77c8b5d6d7447e03ee.jpg,/mnt/tf_data/TechFin/home/group_6/Data/white_balance_copy_layers.v9-10x.coco-segmentation/train/0-8-4-2-3-10_png.rf.49e84ea1ec5d1d77c8b5d6d7447e03ee.jpg,31,38,3,3-10_png,0.8,4.2,3.3600000000000003,5.0,1072,6.9782137426306985,40.0,43.0,0.9302325581395349,14300,-0.15721479411707723,-21.79213523864746,21.79213523864746,116.0,138.61376953125,-24.67412872314453,-14.4940673828125,10.180061340332031,0.07344191976567646,1.86707603931427,4.474423408508301,-0.0031261590775102377,-0.007924570702016354,144.93190002441406
train,1-4-4-5-3-10-2_png.rf.9b6596f9e59aba485abf5cac7d333242.jpg,/mnt/tf_data/TechFin/home/group_6/Data/white_balance_copy_layers.v9-10x.coco-segmentation/train/1-4-4-5-3-10-2_png.rf.9b6596f9e59aba485abf5cac7d333242.jpg,32,39,7,3-10-2_png,1.4,4.5,6.3,5.9,419,6.040254711277414,41.0,23.0,1.7826086956521738,7989,-0.5189247373013164,-44.25090789794922,44.25090789794922,38.0,85.27423095703125,-50.282327270507814,-20.319154357910158,29.963172912597656,0.3513742965057729,4.999926567077637,12.115942001342773,0.005392878316342831,-0.007616658695042133,85.35196685791016
train,2-0-4-5_png.rf.7c5d3eb92b26ca429afc8700b2e2d5ef.jpg,/mnt/tf_data/TechFin/home/group_6/Data/white_balance_copy_layers.v9-10x.coco-segmentation/train/2-0-4-5_png.rf.7c5d3eb92b26ca429afc8700b2e2d5ef.jpg,33,40,1,png,2.0,4.5,9.0,6.5,1459,7.286191714702382,28.0,86.0,0.32558139534883723,20077,-0.035574075917252874,-3.280409812927246,3.280409812927246,89.0,92.21349334716797,-5.388108825683593,-1.092086791992187,4.296022033691406,0.046587781004214,8.647924423217773,1.987101435661316,0.014780553989112377,0.00046280428068712354,72.65884399414062
train,1-7-4-8_png.rf.07d9099b8a53838d7d2b65ab529f15a1.jpg,/mnt/tf_data/TechFin/home/group_6/Data/white_balance_copy_layers.v9-10x.coco-segmentation/train/1-7-4-8_png.rf.07d9099b8a53838d7d2b65ab529f15a1.jpg,34,43,7,png,1.7,4.8,8.16,6.5,851,6.747586526829315,61.0,25.0,2.44,12770,-0.3916380695809232,-40.38512420654297,40.38512420654297,60.0,103.11848449707031,-47.08583068847656,-18.28582000732422,28.800010681152344,0.27929047659705064,11.916160583496094,11.646822929382324,-0.005530018359422684,0.018374979496002197,93.75334167480469
train,1-7-3-9-3-10-4_png.rf.067196c777d1f5628e7bf2a85bb20b01.jpg,/mnt/tf_data/TechFin/home/group_6/Data/white_balance_copy_layers.v9-10x.coco-segmentation/train/1-7-3-9-3-10-4_png.rf.067196c777d1f5628e7bf2a85bb20b01.jpg,38,47,3,3-10-4_png,1.7,3.9,6.63,5.6,643,6.467698726104354,24.0,53.0,0.4528301886792453,10713,-0.15716287055087574,-9.987235069274902,9.987235069274902,53.0,63.54703903198242,-13.529096984863282,-4.66683349609375,8.862263488769532,0.139459896539149,1.149649739265442,3.337639808654785,0.007499562110751867,-0.003691235091537237,60.2882080078125
train,1-1-4-5-3-10-4_png.rf.1930ecac4fb716eb7b49390bec245c45.jpg,/mnt/tf_data/TechFin/home/group_6/Data/white_balance_copy_layers.v9-10x.coco-segmentation/train/1-1-4-5-3-10-4_png.rf.1930ecac4fb716eb7b49390bec245c45.jpg,39,48,3,3-10-4_png,1.1,4.5,4.95,5.6,661,6.495265555937008,25.0,55.0,0.45454545454545453,11619,-0.11463907982076123,-12.910056114196777,12.910056114196777,99.0,112.61479187011719,-17.63257598876953,-5.5754241943359375,12.057151794433594,0.10706543602495447,2.0042457580566406,4.960214614868164,0.003557526972144842,-0.0074068475514650345,114.05166625976562
train,1-4-3-6-6-10-6_png.rf.57e97c4c658deb106fa91bb3c6185d00.jpg,/mnt/tf_data/TechFin/home/group_6/Data/white_balance_copy_layers.v9-10x.coco-segmentation/train/1-4-3-6-6-10-6_png.rf.57e97c4c658deb106fa91bb3c6185d00.jpg,40,49,6,6-10-6_png,1.4,3.6,5.04,5.0,1895,7.547501682814967,40.0,131.0,0.3053435114503817,44986,-0.31525267813710284,-29.27590560913086,29.27590560913086,62.0,92.8648910522461,-32.93291320800781,-19.61182861328125,13.32108459472656,0.14344586467271117,11.476784706115723,5.941872596740723,0.0038543955888599157,-0.003996359650045633,92.29287719726562
train,1-4-3-6-3-10-4_png.rf.6eeeb2f2d66d855f1234509223102911.jpg,/mnt/tf_data/TechFin/home/group_6/Data/white_balance_copy_layers.v9-10x.coco-segmentation/train/1-4-3-6-3-10-4_png.rf.6eeeb2f2d66d855f1234509223102911.jpg,41,50,3,3-10-4_png,1.4,3.6,5.04,5.0,631,6.448889394146858,22.0,52.0,0.4230769230769231,9576,-0.15387950404069303,-14.209590911865234,14.209590911865234,77.0,92.34232330322266,-20.27326202392578,-6.348762512207031,13.92449951171875,0.15079217214402488,1.3039690256118774,5.3052754402160645,0.007021981291472912,-0.0038008540868759155,89.4712142944336
train,0-8-3-9-3-10-4_png.rf.2c644fbaaef3c4d28769ee5b38c6da08.jpg,/mnt/tf_data/TechFin/home/group_6/Data/white_balance_copy_layers.v9-10x.coco-segmentation/train/0-8-3-9-3-10-4_png.rf.2c644fbaaef3c4d28769ee5b38c6da08.jpg,42,51,3,3-10-4_png,0.8,3.9,3.12,4.7,578,6.361302477572996,22.0,52.0,0.4230769230769231,9629,-0.1030343112133129,-14.801945686340332,14.801945686340332,128.0,143.6603546142578,-20.642514038085938,-6.7345230102539055,13.907991027832033,0.09681161559969942,1.1733717918395996,5.455512046813965,0.007219981402158737,-0.006658652331680059,142.16741943359375
train,1-7-4-8_png.rf.cfafa6b7cbe1770109c61d11fd0a600e.jpg,/mnt/tf_data/TechFin/home/group_6/Data/white_balance_copy_layers.v9-10x.coco-segmentation/train/1-7-4-8_png.rf.cfafa6b7cbe1770109c61d11fd0a600e.jpg,43,52,4,png,1.7,4.8,8.16,6.5,8160,9.007121989469242,167.0,98.0,1.7040816326530612,129468,-0.19867874687501696,-20.396089553833008,20.396089553833008,82.0,102.65863800048828,-22.361666107177733,-17.851007080078123,4.51065902709961,0.043938426565508844,16.438682556152344,3.28332257270813,-0.004972497932612896,-0.004026373382657766,114.07496643066406
train,1-7-4-8_png.rf.cfafa6b7cbe1770109c61d11fd0a600e.jpg,/mnt/tf_data/TechFin/home/group_6/Data/white_balance_copy_layers.v9-10x.coco-segmentation/train/1-7-4-8_png.rf.cfafa6b7cbe1770109c61d11fd0a600e.jpg,43,53,3,png,1.7,4.8,8.16,6.5,6642,8.80131894766524,156.0,80.0,1.95,94407,-0.16660217608716424,-17.345956802368164,17.345956802368164,87.0,104.11602783203125,-19.328491973876954,-15.13380661010742,4.194685363769533,0.04028856508564419,18.256607055664062,1.5505716800689697,-0.014695077203214169,-0.004510063212364912,130.8820343017578
train,1-7-4-8_png.rf.cfafa6b7cbe1770109c61d11fd0a600e.jpg,/mnt/tf_data/TechFin/home/group_6/Data/white_balance_copy_layers.v9-10x.coco-segmentation/train/1-7-4-8_png.rf.cfafa6b7cbe1770109c61d11fd0a600e.jpg,43,54,4,png,1.7,4.8,8.16,6.5,1947,7.5745584842024805,108.0,42.0,2.5714285714285716,28145,-0.17629987924875087,-17.93842124938965,17.93842124938965,84.0,101.74948120117188,-19.7525146484375,-14.8697509765625,4.882763671875001,0.047988094034810316,4.397853374481201,2.488801956176758,0.002163390628993511,-0.010828705504536629,110.04570007324219
train,1-7-3-6_png.rf.6ad9f345b8efa63a3d30d000a7800646.jpg,/mnt/tf_data/TechFin/home/group_6/Data/white_balance_copy_layers.v9-10x.coco-segmentation/train/1-7-3-6_png.rf.6ad9f345b8efa63a3d30d000a7800646.jpg,45,58,7,png,1.7,3.6,6.12,5.3,841,6.7357800142423265,61.0,24.0,2.5416666666666665,12235,-0.3546385069382754,-38.89461135864258,38.89461135864258,67.0,109.67396545410156,-47.6767578125,-14.726318359375,32.950439453125,0.3004399386554024,12.851283073425293,12.968903541564941,-0.002719382056966424,0.005479082930833101,108.5982437133789
train,1-1-4-5_png.rf.0d7258abc2655d09abd047dc9db91902.jpg,/mnt/tf_data/TechFin/home/group_6/Data/white_balance_copy_layers.v9-10x.coco-segmentation/train/1-1-4-5_png.rf.0d7258abc2655d09abd047dc9db91902.jpg,46,59,1,png,1.1,4.5,4.95,5.6,3068,8.029107054619736,170.0,60.0,2.8333333333333335,88487,-0.07773204488749512,-9.844757080078125,9.844757080078125,117.0,126.64991760253906,-15.834745788574219,-3.372255706787103,12.462490081787116,0.09840109111557187,11.664411544799805,4.755833625793457,-0.0005643288022838533,-0.016266105696558952,145.02838134765625
train,1-4-3-3_png.rf.fa976209de6df1ade5ed85763fca832a.jpg,/mnt/tf_data/TechFin/home/group_6/Data/white_balance_copy_layers.v9-10x.coco-segmentation/train/1-4-3-3_png.rf.fa976209de6df1ade5ed85763fca832a.jpg,47,62,7,png,1.4,3.3,4.619999999999999,4.699999999999999,892,6.794586580876499,63.0,23.0,2.739130434782609,12048,-0.32222014340811805,-43.62371826171875,43.62371826171875,89.0,135.38482666015625,-50.38469696044922,-22.16859130859375,28.216105651855468,0.20841409150438767,12.760621070861816,11.43083667755127,-0.006452653557062149,0.014247260056436062,131.59042358398438
train,2-0-4-5_png.rf.da2f48a216cf3125b77c3a085b9f0b83.jpg,/mnt/tf_data/TechFin/home/group_6/Data/white_balance_copy_layers.v9-10x.coco-segmentation/train/2-0-4-5_png.rf.da2f48a216cf3125b77c3a085b9f0b83.jpg,48,65,7,png,2.0,4.5,9.0,6.5,713,6.570882962339584,61.0,18.0,3.388888888888889,9811,-0.45559446707317647,-42.04794692993164,42.04794692993164,49.0,92.29248809814453,-47.258357238769534,-29.13328857421875,18.125068664550785,0.196387257923705,14.23576545715332,8.880898475646973,-0.005606448743492365,0.02257041074335575,78.92931365966797
train,0-8-3-6-6-10-6_png.rf.3c754df6857757aa2a83519ece45ec81.jpg,/mnt/tf_data/TechFin/home/group_6/Data/white_balance_copy_layers.v9-10x.coco-segmentation/train/0-8-3-6-6-10-6_png.rf.3c754df6857757aa2a83519ece45ec81.jpg,49,66,6,6-10-6_png,0.8,3.6,2.8800000000000003,4.4,1818,7.506042178518122,38.0,123.0,0.3089430894308943,40010,-0.23058869197321252,-37.75226593017578,37.75226593017578,124.0,163.7212371826172,-42.70756378173828,-22.87769317626953,19.82987060546875,0.12111972122071253,11.320119857788086,8.57190227508545,0.007581219542771578,-0.0003540483594406396,158.58987426757812
train,2-0-4-2_png.rf.57c3a840ec9cb70e633c9f544f82335b.jpg,/mnt/tf_data/TechFin/home/group_6/Data/white_balance_copy_layers.v9-10x.coco-segmentation/train/2-0-4-2_png.rf.57c3a840ec9cb70e633c9f544f82335b.jpg,51,68,4,png,2.0,4.2,8.4,6.2,3890,8.266421472984554,191.0,58.0,3.293103448275862,95548,-0.22758053661709945,-22.288990020751953,22.288990020751953,75.0,97.93891143798828,-28.09867935180664,-14.303881835937501,13.79479751586914,0.14085103983010425,26.45029067993164,5.728824138641357,-0.010824691504240036,-0.040356509387493134,157.50091552734375
train,2-3-3-3_png.rf.e715422f3eb1a8be968b9f3df98dd932.jpg,/mnt/tf_data/TechFin/home/group_6/Data/white_balance_copy_layers.v9-10x.coco-segmentation/train/2-3-3-3_png.rf.e715422f3eb1a8be968b9f3df98dd932.jpg,53,70,2,png,2.3,3.3,7.589999999999999,5.6,942,6.849066282633458,34.0,63.0,0.5396825396825397,18224,-0.10239700766397018,-12.559009552001953,12.559009552001953,109.0,122.65016174316406,-15.697694396972656,-6.559642791748047,9.138051605224609,0.074505010636351,1.3776135444641113,3.6967737674713135,0.004496328067034483,0.003042322350665927,113.57355499267578
train,1-7-3-6-3-10-4_png.rf.7706566b09988ab96aa292145be3ff1e.jpg,/mnt/tf_data/TechFin/home/group_6/Data/white_balance_copy_layers.v9-10x.coco-segmentation/train/1-7-3-6-3-10-4_png.rf.7706566b09988ab96aa292145be3ff1e.jpg,54,71,3,3-10-4_png,1.7,3.6,6.12,5.3,621,6.432940092739179,23.0,52.0,0.4423076923076923,10053,-0.18160355058055724,-12.411338806152344,12.411338806152344,56.0,68.3430404663086,-17.308387756347656,-6.29156494140625,11.016822814941406,0.1611988980849107,0.9197148680686951,4.382318496704102,-0.0009300351957790554,-0.0040569789707660675,71.12211608886719
train,1-7-3-9-6-10-6_png.rf.8213bd6cc70ba892e8dd93651d9fc9d8.jpg,/mnt/tf_data/TechFin/home/group_6/Data/white_balance_copy_layers.v9-10x.coco-segmentation/train/1-7-3-9-6-10-6_png.rf.8213bd6cc70ba892e8dd93651d9fc9d8.jpg,55,72,6,6-10-6_png,1.7,3.9,6.63,5.6,1958,7.580189417944541,41.0,131.0,0.31297709923664124,46083,-0.3512057817974005,-22.964874267578125,22.964874267578125,41.0,65.38865661621094,-26.338585662841798,-14.39212646484375,11.946459197998047,0.18269926033373074,10.803570747375488,5.803360939025879,0.006324804853647947,-0.004019920248538256,63.112247467041016
train,1-7-3-3_png.rf.2dcae6fb792a8c8f409b46857b04f1ff.jpg,/mnt/tf_data/TechFin/home/group_6/Data/white_balance_copy_layers.v9-10x.coco-segmentation/train/1-7-3-3_png.rf.2dcae6fb792a8c8f409b46857b04f1ff.jpg,56,73,2,png,1.7,3.3,5.609999999999999,5.0,1039,6.946975992135418,35.0,64.0,0.546875,19007,-0.11064243193644335,-16.135141372680664,16.135141372680664,128.0,145.83140563964844,-21.871673583984375,-5.7937072753906245,16.07796630859375,0.11025036917166282,1.2652016878128052,6.137364387512207,0.000652617251034826,0.0046146041713654995,141.10313415527344
train,1-4-3-6-3-10_png.rf.ad84b927b1babbe89c96f28f7ea04ec2.jpg,/mnt/tf_data/TechFin/home/group_6/Data/white_balance_copy_layers.v9-10x.coco-segmentation/train/1-4-3-6-3-10_png.rf.ad84b927b1babbe89c96f28f7ea04ec2.jpg,57,74,3,3-10_png,1.4,3.6,5.04,5.0,1130,7.030857476116121,40.0,42.0,0.9523809523809523,13891,-0.006223575697370324,-0.5764209032058716,0.5764209032058716,92.0,92.61892700195312,-2.659180450439453,0.6963104248046875,3.3554908752441404,0.036228997504725795,3.265162944793701,1.3398828506469727,0.001963631948456168,-0.01988176628947258,102.72389221191406
